iter	Passed	Remaining
0	124	124762
1	127	63389
2	128	42847
3	130	32554
4	133	26472
5	134	22331
6	136	19344
7	137	17109
8	139	15406
9	141	13995
10	142	12839
11	143	11831
12	145	11046
13	146	10340
14	147	9701
15	148	9149
16	149	8665
17	150	8220
18	151	7828
19	152	7484
20	153	7166
21	154	6873
22	155	6598
23	156	6355
24	157	6126
25	158	5919
26	158	5726
27	159	5550
28	161	5398
29	162	5241
30	162	5094
31	163	4956
32	164	4824
33	165	4703
34	166	4589
35	167	4478
36	168	4376
37	169	4279
38	169	4185
39	170	4097
40	171	4012
41	172	3933
42	173	3857
43	174	3791
44	175	3728
45	176	3665
46	177	3602
47	178	3542
48	179	3482
49	180	3426
50	181	3368
51	181	3315
52	182	3264
53	183	3215
54	184	3167
55	185	3123
56	186	3087
57	187	3044
58	188	3002
59	189	2967
60	190	2930
61	191	2895
62	192	2859
63	193	2823
64	194	2791
65	194	2757
66	195	2725
67	196	2694
68	197	2662
69	198	2637
70	199	2609
71	200	2583
72	201	2556
73	202	2530
74	203	2503
75	203	2480
76	205	2457
77	205	2433
78	206	2411
79	207	2386
80	208	2364
81	209	2341
82	209	2319
83	210	2300
84	211	2279
85	212	2258
86	213	2239
87	214	2219
88	215	2201
89	215	2182
90	216	2164
91	217	2146
92	218	2130
93	219	2116
94	220	2101
95	221	2086
96	222	2070
97	223	2053
98	223	2038
99	224	2022
100	225	2006
101	225	1989
102	226	1974
103	227	1960
104	228	1946
105	229	1935
106	230	1921
107	231	1908
108	231	1895
109	232	1882
110	233	1872
111	234	1860
112	235	1849
113	236	1836
114	237	1825
115	238	1814
116	238	1803
117	239	1792
118	240	1780
119	241	1771
120	242	1761
121	243	1751
122	244	1740
123	245	1731
124	245	1720
125	246	1710
126	247	1701
127	248	1693
128	249	1685
129	250	1676
130	251	1665
131	251	1657
132	252	1649
133	253	1639
134	254	1631
135	255	1622
136	256	1614
137	257	1605
138	257	1597
139	258	1589
140	259	1581
141	260	1574
142	261	1566
143	262	1559
144	263	1552
145	264	1545
146	265	1538
147	265	1530
148	266	1524
149	267	1517
150	268	1510
151	269	1502
152	270	1495
153	270	1488
154	271	1481
155	272	1474
156	273	1467
157	274	1461
158	275	1455
159	276	1449
160	276	1443
161	278	1438
162	279	1432
163	279	1427
164	280	1420
165	281	1414
166	282	1408
167	283	1403
168	284	1397
169	284	1391
170	285	1385
171	286	1379
172	287	1374
173	288	1368
174	289	1363
175	289	1357
176	290	1352
177	292	1349
178	293	1346
179	294	1341
180	295	1336
181	296	1332
182	297	1327
183	298	1322
184	298	1316
185	299	1311
186	300	1306
187	301	1301
188	302	1296
189	302	1291
190	303	1286
191	304	1280
192	305	1276
193	306	1272
194	307	1269
195	308	1265
196	309	1261
197	310	1256
198	310	1251
199	311	1246
200	312	1242
201	313	1237
202	314	1233
203	314	1228
204	315	1224
205	316	1220
206	317	1216
207	318	1213
208	319	1209
209	320	1205
210	321	1202
211	322	1198
212	323	1195
213	324	1192
214	325	1188
215	326	1184
216	327	1180
217	328	1176
218	328	1172
219	329	1168
220	330	1164
221	331	1161
222	332	1157
223	333	1153
224	333	1150
225	334	1146
226	335	1142
227	336	1139
228	337	1136
229	338	1133
230	339	1129
231	340	1126
232	341	1123
233	341	1119
234	342	1115
235	343	1112
236	344	1108
237	345	1104
238	345	1101
239	346	1097
240	347	1094
